*Au+ Q  % XX344LF006.TextGrid
eMthatha Em=t_hat_>  % XX332LF010.TextGrid
eMtunzini emt_hund-\zini  % XX076LM027.TextGrid
eMtwayi Emtwah\i  % XX108LM010.TextGrid
eMzimkhulu emzimk_hul  % XX312LM010.TextGrid
eMzimkhulu em=zim=k_hul  % XX175LM010.TextGrid
eNaledi Enaled_0i  % XX056CF037.TextGrid
eNaledi Enaledi  % XX004CF022.TextGrid
eNcambedlana E|\~ambEK\ana  % XX037LF012.TextGrid XX298LF012.TextGrid
eNgangelizwe ENgaNgelizwE  % XX087LM012.TextGrid XX116LM013.TextGrid XX118LF012.TextGrid XX120LM012.TextGrid XX186LM012.TextGrid XX258LM012.TextGrid XX381LF012.TextGrid
eNgangelizwe ENgaNgelizw  % XX124LM011.TextGrid
eNgcobo E|\_v~Ob_<O  % XX000CF010.TextGrid XX002LF010.TextGrid XX002LF012.TextGrid XX007LF210.TextGrid XX007LF211.TextGrid XX134LF010.TextGrid XX191LM010.TextGrid XX191LM011.TextGrid XX193LM010.TextGrid XX200LF011.TextGrid XX271LF011.TextGrid XX272LF010.TextGrid XX272LF011.TextGrid XX276LF011.TextGrid XX282LF011.TextGrid
eNgcobo E|\_v~Ob_<  % XX147CF010.TextGrid
eNgcobo E|\_v~O:b_<O  % XX355LF010.TextGrid
eNgqamakhwe E!\_v~amak_hwE  % XX123CF010.TextGrid
eNgqeleni E!\_v~Eleni  % XX025LF010.TextGrid XX032LF010.TextGrid XX119LF010.TextGrid XX145LM010.TextGrid XX149LF010.TextGrid XX256LM010.TextGrid XX259LM012.TextGrid XX346LM010.TextGrid XX381LF010.TextGrid
eNgqeleni E!\_v~Elen  % XX255LM013.TextGrid XX256LM012.TextGrid XX258LM010.TextGrid
eNgqeleni E!\_v~Ele:ni  % XX385LF010.TextGrid
eNgqogi E!\_v~ogi  % XX280LM012.TextGrid
eNkawuzana ENk_>awuzana  % XX324LF013.TextGrid
eNkondlo ENk_>Ond-\K\O  % XX007LF212.TextGrid XX281LF012.TextGrid XX281LF013.TextGrid
eNkondlo k_>Ond-\K\O  % XX271LF012.TextGrid
eNqamakhwe E!\~amak_hwE  % XX261LM012.TextGrid XX261LM013.TextGrid
eNtlaza Ent-\K_>aza  % XX145LM010.TextGrid
eNtlazane Ent-\K_>azanE  % XX058CF013.TextGrid
eNtshona Ent-\SOna  % XX132LM010.TextGrid XX172LM010.TextGrid XX172LM011.TextGrid XX212LF010.TextGrid XX213LF010.TextGrid XX227LF010.TextGrid
eNtshona Ent-\S_hOna  % XX039LM010.TextGrid XX075CM010.TextGrid XX102CM011.TextGrid XX341LF010.TextGrid
eNxukhwebe e|\|\~uk_hwEb_<E  % XX000LM112.TextGrid
eNyanga EJaNga  % XX000CF012.TextGrid XX268LM012.TextGrid XX318LM020.TextGrid
eNyanga EJa:Ng@  % XX170LM012.TextGrid
ePhakama Ep_hak_>ama  % XX047LM013.TextGrid
ePhangalele Ep_haNgalElE  % XX258LM010.TextGrid
eQunu e!\u:nu  % XX065LF012.TextGrid
eRhafu Exafu  % XX244LF021.TextGrid
eRhawutini Exa-\ut_>in  % XX377LM010.TextGrid
eRhawutini Exawut_>in  % XX239LF022.TextGrid
eSakhwe Esak_hwE  % XX093LF013.TextGrid
eSamora EsamOra  % XX183LM012.TextGrid
eSheshegu ESESegu  % XX162CF037.TextGrid XX164CF037.TextGrid
eStellenbosch Est{l@nmbOS  % XX128LF012.TextGrid
eTabase Et_>ab_<asE  % XX222LM012.TextGrid XX222LM013.TextGrid
eThekwini Et_hek_>wini  % XX015LF012.TextGrid XX086LM026.TextGrid
eTinarha et_>inaxa  % XX312LM034.TextGrid
eTranskei Et_>ransk_>a-\i  % XX360LF010.TextGrid
eTranskei Etransk_>a-\i  % XX131LM110.TextGrid
eTshandu Et-\S_handu  % XX330LF013.TextGrid XX385LF013.TextGrid
eVukazana evuk_>azana  % XX032LF013.TextGrid XX149LF013.TextGrid XX382LM012.TextGrid
eVukuthu evuk_>ut_hu  % XX177LF013.TextGrid
eVukuzana evuk_>uzana  % XX326LF013.TextGrid
eWorcester Ew@sta  % XX400CF024.TextGrid
eXorana E|\|\Orana  % XX335CM012.TextGrid
eYakhwe Ejak_hwE  % XX037LF013.TextGrid
eZamukulungisa Ezamuk_>uluNgisa  % XX275LM010.TextGrid
eZamukulungisa E:zamuk_>uluNgi:sa  % XX076LM013.TextGrid
eZibeleni ezib_<Elen  % XX316LM010.TextGrid
eZimbane ezimbanE  % XX187LM012.TextGrid XX239LF012.TextGrid
eZimbane Ez@mbanE  % XX094LF012.TextGrid
eZiphunzana ezp_hund-\zana  % XX297LM012.TextGrid
eZwakala Ezwak_>ala  % XX118LF013.TextGrid XX119LF012.TextGrid XX120LM012.TextGrid
eZweldanile Ezweld_0ani:lE  % XX000LM110.TextGrid
east ist@  % XX170CF012.TextGrid
ebhedini Eb_0edini  % XX001LF028.TextGrid XX050CF031.TextGrid XX110LF033.TextGrid XX319CF023.TextGrid
ebhedini Eb_0ed_0ini  % XX259LM036.TextGrid
ebhokisini Eb_0ok_>isin  % XX338CM034.TextGrid
ebhokisini Eb_0ok_>isini  % XX136LF023.TextGrid
ebonakalisa Eb_<Onak_>alisa  % XX117LF036.TextGrid XX319CF030.TextGrid XX332LF024.TextGrid XX355LF036.TextGrid
ebu0rhulumenteni eb_<u0xulumEnt_>eni  % XX152LM027.TextGrid
ebukhali eb_<uk_hali  % XX334CM021.TextGrid
eburhulumenteni eb_<uxulumEnt_>en  % XX011LF036.TextGrid XX012LF032.TextGrid XX014LF032.TextGrid XX016LM025.TextGrid XX044CF021.TextGrid XX047LM031.TextGrid XX050CF029.TextGrid XX054CF022.TextGrid XX064CF036.TextGrid XX067LF026.TextGrid XX069LF021.TextGrid XX069LF022.TextGrid XX075CM037.TextGrid XX102CF032.TextGrid XX102CM032.TextGrid XX115LF038.TextGrid XX116LF028.TextGrid XX144CF025.TextGrid XX151CM034.TextGrid XX161CF021.TextGrid XX162CF021.TextGrid XX164CF021.TextGrid XX172LM029.TextGrid XX173LM026.TextGrid XX174LM021.TextGrid XX179LM032.TextGrid XX180LM032.TextGrid XX208CF038.TextGrid XX209CF023.TextGrid XX210LM028.TextGrid XX211LM031.TextGrid XX213LF037.TextGrid XX215LF030.TextGrid XX220LF137.TextGrid XX227LF038.TextGrid XX234CM035.TextGrid XX245CF036.TextGrid XX268LM034.TextGrid XX269LF023.TextGrid XX273LF023.TextGrid
eburhulumenteni eb_<uxulumEnt_>eni  % XX001LF031.TextGrid XX013LF030.TextGrid XX023LF025.TextGrid XX025LF038.TextGrid XX026LF024.TextGrid XX041LF024.TextGrid XX056CF028.TextGrid XX058CF024.TextGrid XX120LF024.TextGrid XX128LF035.TextGrid XX130LF032.TextGrid XX131LM037.TextGrid XX131LM131.TextGrid XX132LM032.TextGrid XX136LF022.TextGrid XX156CF031.TextGrid XX167CF023.TextGrid XX170CF032.TextGrid XX182LM021.TextGrid XX183LM021.TextGrid XX184LM032.TextGrid XX196LF029.TextGrid XX197LM025.TextGrid XX202LM030.TextGrid XX313CF025.TextGrid XX319CF026.TextGrid XX340CF027.TextGrid XX341LF032.TextGrid XX396LM029.TextGrid XX397LM037.TextGrid XX400CF023.TextGrid
eburhulumenteni eb_<uxulumEnt_>En  % XX021CM023.TextGrid XX038LF025.TextGrid XX077LM034.TextGrid XX147CF021.TextGrid XX155CM022.TextGrid
eburhulumenteni eb_<uxulumEnt_>Eni  % XX039LM028.TextGrid XX139LF027.TextGrid
eburhulumenteni eb_<uxulmEnt_>en  % XX218LF035.TextGrid
eburhumenteni eb_<uxulumEnt_>en  % XX077CM034.TextGrid
ebusuku eb_<usuk_>u  % XX075CM035.TextGrid XX077LM033.TextGrid XX161CF031.TextGrid XX187LM026.TextGrid XX202LM029.TextGrid XX270LF027.TextGrid XX304LF026.TextGrid XX341LF035.TextGrid XX350LM030.TextGrid XX381LF031.TextGrid
ebusuku eb_<usuk_>  % XX056CF035.TextGrid XX077CM033.TextGrid
ebusuku eb_<suk_>u  % XX177LF015.TextGrid
ebusuku eb_<suk_>  % XX058CF015.TextGrid
ebusuku ebusuku  % XX341LF015.TextGrid
ecaleni E|\aleni  % XX054CF038.TextGrid
edarekthri Ed_0arek_ht_hr  % XX193LM025.TextGrid
edolophini Ed_0Olop_hin  % XX100LM012.TextGrid
edolophini EdOlop_hini  % XX024LM012.TextGrid
education EJ\ukE-\iS@n  % XX355LF010.TextGrid XX360LF010.TextGrid
education EdukE-\ISin  % XX350LM010.TextGrid
education Edjuke-\IS@n  % XX157CF009.TextGrid
education EdjukE-\iSin  % XX222LM009.TextGrid
education Ed-\ZukEiSEn  % XX086LM009.TextGrid
edulu ed_0ulu  % XX238LM022.TextGrid
eehotele E:h\Ot_>ElE  % XX001LF034.TextGrid XX313CF030.TextGrid
eerandi E:randi  % XX100LM126.TextGrid XX131LM133.TextGrid XX351LM035.TextGrid
eeranti E:rant_>i  % XX047LM001.TextGrid XX047LM021.TextGrid
eeranti E:rant  % XX047LM021.TextGrid
eeranti Erant_>i  % XX041LF037.TextGrid
eeranti E:rant_>  % XX115LF021.TextGrid
eesenti E:sent_>  % XX047LM001.TextGrid
efestileni Efest_>ilen  % XX079CF034.TextGrid
efestileni Efest_>ileni  % XX276LF024.TextGrid
egaraji Egarad-\Zi  % XX037LF034.TextGrid
egumbini egumbini  % XX079CF035.TextGrid XX098LF030.TextGrid XX136LF029.TextGrid XX180LM029.TextGrid XX280LM032.TextGrid XX349LM024.TextGrid
egumbini eNgumbin  % XX073LM026.TextGrid
eh E  % XX119LF016.TextGrid
eholideyini Eh\olid_0ejini  % XX234CM027.TextGrid XX259LM029.TextGrid
ehotele Eh\Ot_>ElE  % XX024LM023.TextGrid XX039LM035.TextGrid XX040LM028.TextGrid XX047LM024.TextGrid XX077CM024.TextGrid XX077LM024.TextGrid XX120LF027.TextGrid XX134LF034.TextGrid XX184LM022.TextGrid XX258LM022.TextGrid XX262LM036.TextGrid XX312LM025.TextGrid XX314LF032.TextGrid XX355LF034.TextGrid
ehotele Eh\Ot_>El  % XX069LF028.TextGrid XX218LF028.TextGrid XX220LF026.TextGrid XX245CF028.TextGrid
ehotele eh\OElE  % XX225LF036.TextGrid
eigh0teen e-\I0tin  % XX318LM001.TextGrid
eight E-\it  % XX000CM007.TextGrid XX000LM007.TextGrid XX000LM107.TextGrid XX000LM201.TextGrid XX000LM207.TextGrid XX001LF025.TextGrid XX001LF027.TextGrid XX002LF020.TextGrid XX002LF031.TextGrid XX004CF007.TextGrid XX007LF024.TextGrid XX007LF031.TextGrid XX007LF104.TextGrid XX007LF221.TextGrid XX007LF226.TextGrid XX011LF007.TextGrid XX011LF021.TextGrid XX011LF027.TextGrid XX011LF038.TextGrid XX012LF006.TextGrid XX012LF007.TextGrid XX012LF023.TextGrid XX013LF007.TextGrid XX013LF021.TextGrid XX013LF038.TextGrid XX014LF007.TextGrid XX022LF007.TextGrid XX023LF007.TextGrid XX023LF016.TextGrid XX023LF026.TextGrid XX023LF030.TextGrid XX024LM007.TextGrid XX024LM022.TextGrid XX024LM025.TextGrid XX025LF012.TextGrid XX025LF013.TextGrid XX025LF021.TextGrid XX025LF028.TextGrid XX026LF007.TextGrid XX026LF032.TextGrid XX026LF034.TextGrid XX029LF007.TextGrid XX031LF023.TextGrid XX031LF030.TextGrid XX032LF022.TextGrid XX033LF031.TextGrid XX035LF007.TextGrid XX035LF024.TextGrid XX037LF007.TextGrid XX038LF001.TextGrid XX040LM034.TextGrid XX040LM036.TextGrid XX044CF021.TextGrid XX047LM007.TextGrid XX050CF024.TextGrid XX050CF034.TextGrid XX053LM007.TextGrid XX053LM023.TextGrid XX055LF007.TextGrid XX055LF013.TextGrid XX056CF034.TextGrid XX058CF007.TextGrid XX058CF032.TextGrid XX058CF034.TextGrid XX058CF035.TextGrid XX062LF007.TextGrid XX062LF032.TextGrid XX062LF034.TextGrid XX062LF036.TextGrid XX063LF021.TextGrid XX063LF024.TextGrid XX064CF007.TextGrid XX065LF027.TextGrid XX065LF034.TextGrid XX067LF036.TextGrid XX069LF013.TextGrid XX072LF029.TextGrid XX073LM034.TextGrid XX073LM035.TextGrid XX074LF007.TextGrid XX074LF025.TextGrid XX074LF032.TextGrid XX075CM007.TextGrid XX076LM007.TextGrid XX076LM029.TextGrid XX077CM025.TextGrid XX077LM025.TextGrid XX079CF007.TextGrid XX082LF007.TextGrid XX082LF021.TextGrid XX082LF025.TextGrid XX083LM007.TextGrid XX084LM007.TextGrid XX084LM024.TextGrid XX085LM007.TextGrid XX085LM024.TextGrid XX086LM007.TextGrid XX086LM012.TextGrid XX086LM028.TextGrid XX087LM007.TextGrid XX088LM001.TextGrid XX088LM007.TextGrid XX088LM021.TextGrid XX088LM027.TextGrid XX088LM029.TextGrid XX089LF007.TextGrid XX089LF030.TextGrid XX090LM007.TextGrid XX090LM021.TextGrid XX091LM007.TextGrid XX091LM025.TextGrid XX091LM030.TextGrid XX094LF007.TextGrid XX095LF007.TextGrid XX096LM007.TextGrid XX096LM026.TextGrid XX097LM015.TextGrid XX097LM022.TextGrid XX097LM025.TextGrid XX098LF022.TextGrid XX100LM107.TextGrid XX100LM120.TextGrid XX100LM124.TextGrid XX101LF007.TextGrid XX101LF024.TextGrid XX101LF035.TextGrid XX102CF007.TextGrid XX102CF026.TextGrid XX102CF033.TextGrid XX102CM007.TextGrid XX102CM033.TextGrid XX103LM007.TextGrid XX106LF020.TextGrid XX106LF026.TextGrid XX106LF033.TextGrid XX106LF034.TextGrid XX108LM022.TextGrid XX108LM025.TextGrid XX109CF007.TextGrid XX110LF034.TextGrid XX110LF036.TextGrid XX111LF007.TextGrid XX111LF029.TextGrid XX111LF030.TextGrid XX114LM030.TextGrid XX115LF026.TextGrid XX115LF037.TextGrid XX116LM006.TextGrid XX116LM007.TextGrid XX116LM022.TextGrid XX117LF006.TextGrid XX117LF007.TextGrid XX117LF023.TextGrid XX117LF026.TextGrid XX117LF031.TextGrid XX118LF007.TextGrid XX118LF021.TextGrid XX118LF025.TextGrid XX119LF007.TextGrid XX119LF015.TextGrid XX119LF023.TextGrid XX119LF034.TextGrid XX119LF036.TextGrid XX120LM007.TextGrid XX120LM033.TextGrid XX123CF007.TextGrid XX123CF021.TextGrid XX124LM029.TextGrid XX128LF037.TextGrid XX130LF005.TextGrid XX130LF007.TextGrid XX130LF023.TextGrid XX130LF030.TextGrid XX131LM007.TextGrid XX131LM013.TextGrid XX131LM029.TextGrid XX131LM031.TextGrid XX131LM130.TextGrid XX132LM007.TextGrid XX132LM027.TextGrid XX134LF007.TextGrid XX134LF021.TextGrid XX134LF036.TextGrid XX136LF007.TextGrid XX136LF015.TextGrid XX136LF027.TextGrid XX136LF030.TextGrid XX136LF037.TextGrid XX138CM007.TextGrid XX138CM022.TextGrid XX139LF007.TextGrid XX139LF035.TextGrid XX139LF037.TextGrid XX142CF007.TextGrid XX142CF020.TextGrid XX145LM007.TextGrid XX145LM024.TextGrid XX145LM036.TextGrid XX146LM006.TextGrid XX146LM007.TextGrid XX146LM023.TextGrid XX146LM027.TextGrid XX147CF007.TextGrid XX149LF107.TextGrid XX149LF121.TextGrid XX149LF129.TextGrid XX150LF006.TextGrid XX150LF007.TextGrid XX151CM012.TextGrid XX151CM036.TextGrid XX151CM038.TextGrid XX152LF007.TextGrid XX155CM007.TextGrid XX155CM012.TextGrid XX155CM013.TextGrid XX155CM023.TextGrid XX155CM031.TextGrid XX156CF015.TextGrid XX156CF024.TextGrid XX156CF037.TextGrid XX156CF038.TextGrid XX157CF007.TextGrid XX161CF007.TextGrid XX161CF028.TextGrid XX161CF036.TextGrid XX162CF026.TextGrid XX164CF007.TextGrid XX164CM007.TextGrid XX167CF007.TextGrid XX167CF021.TextGrid XX167CF024.TextGrid XX167CF030.TextGrid XX170CF007.TextGrid XX170CF037.TextGrid XX172LM007.TextGrid XX172LM028.TextGrid XX173LM034.TextGrid XX174LM007.TextGrid XX174LM026.TextGrid XX175LM007.TextGrid XX175LM031.TextGrid XX176LF022.TextGrid XX176LF027.TextGrid XX177LF006.TextGrid XX179LM022.TextGrid XX179LM026.TextGrid XX179LM031.TextGrid XX180LM028.TextGrid XX182LM032.TextGrid XX183LM026.TextGrid XX184LM007.TextGrid XX184LM023.TextGrid XX184LM028.TextGrid XX188LM023.TextGrid XX188LM031.TextGrid XX191LM001.TextGrid XX191LM007.TextGrid XX193LM030.TextGrid XX197LM007.TextGrid XX197LM027.TextGrid XX200LF027.TextGrid XX202LM027.TextGrid XX206LF007.TextGrid XX206LF020.TextGrid XX208CF007.TextGrid XX208CF020.TextGrid XX208CF029.TextGrid XX208LF007.TextGrid XX209CF007.TextGrid XX209CF025.TextGrid XX209CF031.TextGrid XX209CF034.TextGrid XX210LM007.TextGrid XX212LF007.TextGrid XX213LF007.TextGrid XX221LF007.TextGrid XX221LF020.TextGrid XX221LF036.TextGrid XX222LM007.TextGrid XX222LM029.TextGrid XX222LM032.TextGrid XX225LF005.TextGrid XX225LF007.TextGrid XX225LF029.TextGrid XX234CM007.TextGrid XX234CM025.TextGrid XX238LM025.TextGrid XX240LF007.TextGrid XX241LF021.TextGrid XX242LF007.TextGrid XX242LF022.TextGrid XX243LF007.TextGrid XX244LF007.TextGrid XX256LM022.TextGrid XX263LM007.TextGrid XX263LM031.TextGrid XX264LM007.TextGrid XX264LM032.TextGrid XX264LM036.TextGrid XX268LM007.TextGrid XX268LM037.TextGrid XX270LF025.TextGrid XX270LF035.TextGrid XX271LF022.TextGrid XX272LF007.TextGrid XX275LM024.TextGrid XX276LF007.TextGrid XX276LF015.TextGrid XX280LM001.TextGrid XX280LM007.TextGrid XX280LM022.TextGrid XX280LM026.TextGrid XX281LF035.TextGrid XX282LF007.TextGrid XX282LF024.TextGrid XX282LF035.TextGrid XX294LM026.TextGrid XX297LM015.TextGrid XX297LM020.TextGrid XX298LF007.TextGrid XX298LF034.TextGrid XX298LF035.TextGrid XX299LF007.TextGrid XX299LF024.TextGrid XX299LF027.TextGrid XX300LM007.TextGrid XX300LM021.TextGrid XX303LF034.TextGrid XX303LF035.TextGrid XX304LF007.TextGrid XX304LF029.TextGrid XX311CM006.TextGrid XX311CM007.TextGrid XX311CM027.TextGrid XX311CM028.TextGrid XX311CM038.TextGrid XX312LM007.TextGrid XX312LM021.TextGrid XX312LM036.TextGrid XX313CF007.TextGrid XX313CF037.TextGrid XX313CF038.TextGrid XX314LF035.TextGrid XX316LM029.TextGrid XX316LM032.TextGrid XX318LM007.TextGrid XX318LM012.TextGrid XX318LM013.TextGrid XX318LM024.TextGrid XX318LM034.TextGrid XX319CF007.TextGrid XX319CF024.TextGrid XX319CF025.TextGrid XX323LF007.TextGrid XX323LF021.TextGrid XX323LF025.TextGrid XX324LF007.TextGrid XX324LF031.TextGrid XX325LF021.TextGrid XX326LF007.TextGrid XX326LF035.TextGrid XX327LF007.TextGrid XX328LF033.TextGrid XX329LF007.TextGrid XX330LF020.TextGrid XX331LF007.TextGrid XX331LF023.TextGrid XX332LF007.TextGrid XX334CM007.TextGrid XX335CM007.TextGrid XX336CM035.TextGrid XX337LF007.TextGrid XX337LF035.TextGrid XX338CM007.TextGrid XX338CM020.TextGrid XX339CM025.TextGrid XX339CM036.TextGrid XX340CF007.TextGrid XX340CF012.TextGrid XX340CF025.TextGrid XX340CF030.TextGrid XX341LF007.TextGrid XX341LF023.TextGrid XX341LF024.TextGrid XX347LF007.TextGrid XX347LF032.TextGrid XX347LF036.TextGrid XX348LM006.TextGrid XX348LM023.TextGrid XX348LM024.TextGrid XX349LM031.TextGrid XX350LM021.TextGrid XX351LM030.TextGrid XX355LF007.TextGrid XX355LF026.TextGrid XX356LF023.TextGrid XX356LF030.TextGrid XX360LF007.TextGrid XX360LF020.TextGrid XX361LM007.TextGrid XX361LM025.TextGrid XX365LM030.TextGrid XX377LM007.TextGrid XX377LM020.TextGrid XX377LM036.TextGrid XX377LM136.TextGrid XX382LM006.TextGrid XX384LM007.TextGrid XX385LF007.TextGrid XX385LF025.TextGrid XX385LF035.TextGrid XX387LF028.TextGrid XX388LF033.TextGrid XX389LF007.TextGrid XX389LF034.TextGrid XX389LF035.TextGrid XX396LM007.TextGrid XX396LM024.TextGrid XX396LM025.TextGrid XX396LM037.TextGrid XX397LM027.TextGrid XX397LM031.TextGrid XX400CF006.TextGrid XX400CF007.TextGrid XX400CF021.TextGrid XX400CF022.TextGrid XX400CF026.TextGrid XX400CF031.TextGrid
eight e-\It  % XX000CF006.TextGrid XX000CF007.TextGrid XX000LF007.TextGrid XX000LF107.TextGrid XX000LF238.TextGrid XX001LF007.TextGrid XX002LF007.TextGrid XX002LF021.TextGrid XX002LF033.TextGrid XX004CF032.TextGrid XX006LF006.TextGrid XX006LF007.TextGrid XX006LF033.TextGrid XX006LF036.TextGrid XX007LF007.TextGrid XX007LF028.TextGrid XX007LF107.TextGrid XX007LF207.TextGrid XX011LF005.TextGrid XX011LF024.TextGrid XX011LF025.TextGrid XX014LF024.TextGrid XX014LF029.TextGrid XX015LF007.TextGrid XX015LF032.TextGrid XX016LM006.TextGrid XX016LM007.TextGrid XX016LM031.TextGrid XX021CM007.TextGrid XX021CM032.TextGrid XX022LF006.TextGrid XX022LF013.TextGrid XX029LF024.TextGrid XX029LF026.TextGrid XX029LF032.TextGrid XX031LF007.TextGrid XX032LF007.TextGrid XX032LF032.TextGrid XX037LF027.TextGrid XX038LF007.TextGrid XX039LM007.TextGrid XX039LM021.TextGrid XX039LM023.TextGrid XX040LM024.TextGrid XX044CF023.TextGrid XX044CF033.TextGrid XX050CF007.TextGrid XX050CF038.TextGrid XX053LM006.TextGrid XX053LM020.TextGrid XX054CF007.TextGrid XX056CF030.TextGrid XX058CF020.TextGrid XX063LF007.TextGrid XX064CF032.TextGrid XX064CF038.TextGrid XX065LF007.TextGrid XX065LF022.TextGrid XX067LF007.TextGrid XX067LF021.TextGrid XX069LF006.TextGrid XX069LF007.TextGrid XX069LF013.TextGrid XX069LF027.TextGrid XX072LF007.TextGrid XX072LF034.TextGrid XX073LM007.TextGrid XX073LM022.TextGrid XX075CM024.TextGrid XX077CM007.TextGrid XX077CM037.TextGrid XX079CF030.TextGrid XX080LM001.TextGrid XX080LM007.TextGrid XX080LM028.TextGrid XX080LM033.TextGrid XX083LM006.TextGrid XX083LM021.TextGrid XX083LM030.TextGrid XX083LM034.TextGrid XX085LM012.TextGrid XX087LM024.TextGrid XX087LM029.TextGrid XX087LM034.TextGrid XX088LM022.TextGrid XX089LF001.TextGrid XX089LF027.TextGrid XX093LF007.TextGrid XX097LM007.TextGrid XX097LM030.TextGrid XX097LM035.TextGrid XX098LF001.TextGrid XX098LF027.TextGrid XX100LM007.TextGrid XX101LF005.TextGrid XX102CM015.TextGrid XX102CM026.TextGrid XX103LM023.TextGrid XX103LM024.TextGrid XX103LM036.TextGrid XX106LF007.TextGrid XX106LF031.TextGrid XX108LM001.TextGrid XX108LM007.TextGrid XX108LM015.TextGrid XX108LM020.TextGrid XX108LM031.TextGrid XX110LF007.TextGrid XX113LF033.TextGrid XX114LM007.TextGrid XX114LM034.TextGrid XX114LM035.TextGrid XX115LF007.TextGrid XX115LF035.TextGrid XX116LF007.TextGrid XX116LF022.TextGrid XX116LF026.TextGrid XX116LM030.TextGrid XX120LF007.TextGrid XX120LF021.TextGrid XX123CF026.TextGrid XX128LF007.TextGrid XX144CF007.TextGrid XX144CF026.TextGrid XX144CF028.TextGrid XX144CF034.TextGrid XX147CF028.TextGrid XX149LF007.TextGrid XX149LF135.TextGrid XX150LF032.TextGrid XX152LM007.TextGrid XX152LM024.TextGrid XX156CF007.TextGrid XX161CF006.TextGrid XX161CF033.TextGrid XX162CF027.TextGrid XX162CF028.TextGrid XX162CF035.TextGrid XX164CF027.TextGrid XX164CF028.TextGrid XX164CF035.TextGrid XX177LF007.TextGrid XX177LF014.TextGrid XX177LF015.TextGrid XX177LF029.TextGrid XX177LF030.TextGrid XX182LM007.TextGrid XX183LM037.TextGrid XX184LM001.TextGrid XX187LM007.TextGrid XX187LM036.TextGrid XX188LM001.TextGrid XX188LM007.TextGrid XX193LM007.TextGrid XX196LF007.TextGrid XX196LF026.TextGrid XX196LF038.TextGrid XX197LM037.TextGrid XX200LF007.TextGrid XX200LF033.TextGrid XX200LF035.TextGrid XX202LF006.TextGrid XX202LF007.TextGrid XX202LF024.TextGrid XX202LM007.TextGrid XX221LF009.TextGrid XX225LF021.TextGrid XX225LF033.TextGrid XX238LM007.TextGrid XX238LM028.TextGrid XX238LM030.TextGrid XX243LF028.TextGrid XX256LM006.TextGrid XX256LM007.TextGrid XX256LM024.TextGrid XX270LF007.TextGrid XX270LF031.TextGrid XX275LM007.TextGrid XX275LM030.TextGrid XX281LF001.TextGrid XX281LF007.TextGrid XX281LF028.TextGrid XX281LF036.TextGrid XX282LF029.TextGrid XX300LM026.TextGrid XX312LM006.TextGrid XX312LM029.TextGrid XX314LF036.TextGrid XX316LM007.TextGrid XX316LM031.TextGrid XX325LF006.TextGrid XX325LF007.TextGrid XX325LF024.TextGrid XX335CM020.TextGrid XX335CM023.TextGrid XX339CM034.TextGrid XX351LM007.TextGrid XX351LM025.TextGrid XX355LF006.TextGrid XX356LF007.TextGrid XX356LF013.TextGrid XX359LF007.TextGrid XX359LF028.TextGrid XX359LF035.TextGrid XX361LM024.TextGrid XX365LM006.TextGrid XX365LM007.TextGrid XX377LM006.TextGrid XX377LM023.TextGrid XX377LM107.TextGrid XX377LM120.TextGrid XX377LM123.TextGrid XX381LF022.TextGrid XX381LF035.TextGrid XX382LM021.TextGrid XX384LM001.TextGrid XX384LM020.TextGrid XX384LM025.TextGrid XX384LM035.TextGrid XX387LF007.TextGrid XX387LF030.TextGrid XX388LF001.TextGrid XX388LF006.TextGrid XX388LF007.TextGrid
